event_id,A2_5SS,A4_5SS
ENSMUSG00000025903.14;AF:chr1:4807823:4807982-4808455:4808237:4808365-4808455:+,10.493714838876846,8.295332045015211
ENSMUSG00000056763.16;AF:chr1:10038217:10038344-10045076:10039823:10039879-10045076:+,8.069039461252892,8.568807833330522
ENSMUSG00000056763.16;AF:chr1:10038217:10038344-10045076:10040155:10040283-10045076:+,8.069039461252892,3.297904356755686
ENSMUSG00000056763.16;AF:chr1:10038226:10038344-10045076:10039823:10039879-10045076:+,8.069039461252892,8.568807833330522
ENSMUSG00000056763.16;AF:chr1:10038226:10038344-10045076:10040155:10040283-10045076:+,8.069039461252892,3.297904356755686
ENSMUSG00000056763.16;AF:chr1:10039767:10039879-10045076:10040155:10040283-10045076:+,8.568807833330522,3.297904356755686
ENSMUSG00000056763.16;AF:chr1:10039777:10039879-10045076:10040155:10040283-10045076:+,8.568807833330522,3.297904356755686
ENSMUSG00000016918.15;AF:chr1:12692277:12692684-12728594:12719464:12719579-12728594:+,9.654319519043844,8.8784602172727
ENSMUSG00000016918.15;AF:chr1:12718529:12718783-12728594:12719464:12719579-12728594:+,7.404267569937504,8.8784602172727
ENSMUSG00000025920.19;AF:chr1:16509408-16519173:16519253:16509408-16520001:16520080:-,9.451717120185943,8.763777214457557
ENSMUSG00000025920.19;AF:chr1:16509408-16519173:16519307:16509408-16520001:16520080:-,9.451717120185943,8.763777214457557
ENSMUSG00000025920.19;AF:chr1:16509408-16519173:16519270:16509408-16520001:16520080:-,9.451717120185943,8.763777214457557
ENSMUSG00000025931.15;AF:chr1:20890606:20890686-20932060:20922259:20922366-20932060:+,9.771374490684716,7.7606578388932
ENSMUSG00000041779.5;AF:chr1:21037460-21043488:21043656:21037460-21078994:21079229:-,10.032609089655013,-0.8744648783200657
ENSMUSG00000026155.13;AF:chr1:23891993-23909663:23909736:23891993-23922038:23922317:-,6.912551506974973,10.645794460185433
ENSMUSG00000026155.13;AF:chr1:23891993-23909663:23909689:23891993-23922038:23922317:-,6.912551506974973,10.645794460185433
ENSMUSG00000042197.13;AF:chr1:33813810-33814128:33814211:33813810-33814338:33814527:-,10.032609089655013,6.64637026519909
ENSMUSG00000042197.13;AF:chr1:33813810-33814128:33814211:33813810-33814338:33814570:-,10.032609089655013,6.64637026519909
ENSMUSG00000026131.20;AF:chr1:34011813:34011915-34086242:34077227:34077372-34086242:+,9.782320009793677,3.097833730833395
ENSMUSG00000010453.12;AF:chr1:36368034-36369005:36369102:36368034-36369105:36369181:-,7.623735043954273,-4.515210955722815
ENSMUSG00000010453.12;AF:chr1:36368034-36369005:36369102:36368034-36369105:36369171:-,7.623735043954273,-4.515210955722815
ENSMUSG00000010453.12;AF:chr1:36368034-36369005:36369102:36368034-36369105:36369157:-,7.623735043954273,-4.515210955722815
ENSMUSG00000067653.12;AF:chr1:36534437-36535682:36535739:36534437-36536497:36536521:-,5.38731389259921,8.923769555617659
ENSMUSG00000067653.12;AF:chr1:36534437-36535682:36535739:36534437-36536497:36536883:-,5.38731389259921,8.923769555617659
ENSMUSG00000037351.9;AF:chr1:36708255-36709567:36709678:36708255-36709806:36710008:-,4.511664282982789,8.145528816116439
ENSMUSG00000037351.9;AF:chr1:36702600-36706870:36707167:36702600-36709806:36709947:-,4.511664282982789,8.772055361498861
ENSMUSG00000026113.17;AF:chr1:37299891:37300118-37357343:37300308:37300426-37357343:+,10.28021334263411,5.164177376513057
ENSMUSG00000060424.14;AF:chr1:42667003-42667586:42667672:42667003-42692941:42693128:-,10.238510699199464,6.425616466753652
ENSMUSG00000060424.14;AF:chr1:42667003-42667586:42667672:42667003-42692941:42693153:-,10.238510699199464,6.425616466753652
ENSMUSG00000060424.14;AF:chr1:42667003-42667586:42667672:42667003-42694747:42694825:-,10.439941108534283,6.425616466753652
ENSMUSG00000057363.12;AF:chr1:43807377-43826737:43827016:43807377-43827615:43827800:-,7.21054731297591,10.673586215047392
ENSMUSG00000057363.12;AF:chr1:43807377-43826737:43827016:43807377-43827615:43827741:-,7.21054731297591,10.673586215047392
ENSMUSG00000026049.11;AF:chr1:44100001-44101467:44101672:44100001-44101900:44102362:-,8.340176182305212,8.022881776791067
ENSMUSG00000026049.11;AF:chr1:44100001-44101467:44101672:44100001-44102328:44102441:-,8.694151945953788,8.022881776791067
ENSMUSG00000018417.14;AF:chr1:51883226-51907131:51907316:51883226-51915761:51916071:-,9.403053264116757,9.393972556743647
ENSMUSG00000018417.14;AF:chr1:51883226-51895965:51896301:51883226-51915761:51916071:-,9.403053264116757,8.722870180645891
